,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
687,"Natanael Cano: Bzrp Music Sessions, Vol. 59","Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap,2024-04-02,UYB282401007,-1.215420046370163,0.4295832556763714,-0.603253184089399,-0.7530261629308048,0.13974909555634274,1.054166317764993,-0.5124212140406621,-0.2439176553719725,0.0,-0.23085708820886866,-0.2225016638706215,-0.564989798958143,-0.6647732784692177,-0.4518209295189236,1.3966783524448158e-16,-0.4391165560029859,0.33272452952903897,0.3792258277866036,-0.5826251966072702,-0.3951737367265412,1.104952015167933e-16,0.0,1.3364842639421501
688,400 Degreez,400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400062,-1.2123960079408254,0.42698852033074336,-0.8195457227102533,-0.8414360728809036,-0.7927431593979877,4.832945867439307e-16,-8.792340926306948e-17,0.0,0.0,0.0,-4.5707814815970263e-17,1.0062949112255748e-16,-1.0590062496717888e-16,0.0,1.3966783524448158e-16,0.0,0.0,0.0,-0.351848226860737,-0.025484617702376932,1.104952015167933e-16,0.0,1.3364842639421501
689,Y LLORO,$AD BOYZ 4 LIFE II,Junior H,2023-10-05,QZ9QQ2300724,-1.2139080271554943,0.42698852033074336,-0.15716842155530153,-0.6124912435726271,-0.23610203049765968,1.12218398403906,-0.31513961822889613,-0.48763801433861453,-0.41761966210573037,-0.20259299365020872,-0.2006038118968205,1.1264605736429296,-0.45611464684525366,-0.4495440718708342,-0.5536852061331394,-0.3979061479947468,1.7829892005059842,-0.1468034768319603,-0.54466904135738,-0.3776132557980214,-0.8682776904152874,-0.32196063626226,1.3364842639421501
690,Streets,Hot Pink,Doja Cat,2019-11-07,USRC11903460,-1.2131520175481598,0.42698852033074336,1.146355745258926,1.3404893345269735,1.341268814442016,0.7820956526687248,0.442041541794509,1.2044019553892653,0.3251631494758553,0.9453632027018879,0.4192185672548593,0.19274119947208856,1.4963339776361249,-0.4277607537903866,-0.49225864258209534,0.13782915611236143,-0.3074309631631632,-0.3659823537563619,-0.4871795835662141,-0.16019305811402373,1.1753164071100477,0.7415534632938774,1.3364842639421501
691,How We Roll,How We Roll,Ciara,2023-08-04,QZS7J2357291,-1.2146640367628285,0.42698852033074336,-0.7736625285211535,-0.6748882377104852,-0.7306291821944608,-0.7142930053607496,-0.4962952787548985,-0.47301738695025913,0.24195310239552034,-0.1732615350332455,-0.15655620236406256,-0.09470207831314506,-0.575348150630376,0.2383236018052098,-0.5315716432547636,-0.5833529840318227,-0.3867831496938316,0.07237540009244131,-0.5362289513609703,-0.3711846241189558,1.104952015167933e-16,-0.3079445664853976,1.3364842639421501
692,"Satranga (From ""Animal"")","Satranga (From ""Animal"") - Single",Arijit Singh,2023-10-28,INS182303075,-1.2101279791188222,0.4243937849851155,-0.4382579631109957,-0.7075744015333824,-0.28258281288201476,0.8501133189427919,-0.23901867313197725,-0.20897085042811137,0.0,-0.23096853554592536,-0.22260839212008127,1.2019514950958463,-0.6051565265766566,0.0,1.3966783524448158e-16,0.0,0.0,-0.7166685568354045,-1.0186023807108566e-16,0.0,1.104952015167933e-16,-0.405418093286988,-0.7482317801859917
693,My Universe,My Universe,Coldplay,2021-09-24,GBAYE2100952,-1.211639998333491,0.4243937849851155,1.5463109987565276,0.9188987447072399,1.8997777788573824,0.5100249875724567,0.17128327279743505,3.2581503004629204,-0.03746018882259283,0.36902555319380403,0.10337910164828608,5.443657044031803,-1.0590062496717888e-16,-0.45568744777949716,0.7067878779342845,0.0,0.0,0.0,-1.0186023807108566e-16,0.0,1.104952015167933e-16,0.0,-0.7482317801859917
694,Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),Young Nudy,2023-02-27,USRC12300570,-1.2108839887261564,0.4243937849851155,-0.5452776541360717,-0.07470679614059231,-0.26098072080025714,0.03390132365398763,-0.4171402211431037,-0.4439173441454233,-0.42716589025002843,-0.1844499351794434,-0.19529547648198795,-0.00779696447589553,-0.3517853310332716,0.33067294801171426,-0.27603713888242026,-0.33609053598238814,0.014108712116878894,-0.23447502760172095,-0.5147959120156433,-0.3074704420327435,-0.19395420775240033,-0.19151452845130532,1.3364842639421501
695,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2021-10-08,USRC12101071,-1.2093719695114877,0.42179904963948744,-0.3735693949029405,0.6230939209992012,-0.3956777423387289,-0.17015167516821342,-0.12508146068939907,-0.012570487889865922,-0.37076869699971177,-0.1625518314453037,-0.19529934696505516,-0.22799560770027436,-0.15803088738244775,-0.39929589344809124,-0.19495407499504214,-0.5009321680153445,-0.39506862051423114,-0.3659823537563619,-0.3354909729842671,-0.2805035259634465,1.7432360526504078,-0.29617956138726886,1.3364842639421501
696,Thinking Out Loud,Piano Moods: 50 Songs,Ed Sheeran,2017-03-28,ITD541500554,-1.2078599502968188,0.4192043142938594,-0.8404904098132973,-0.8412235490589082,-0.7926713443838208,-3.8431056539678323,4.977476676959246,2.771056521847118,0.0,0.0,-4.5707814815970263e-17,0.5919779441397502,-1.0590062496717888e-16,0.0,1.3966783524448158e-16,0.0,0.0,0.0,-1.0186023807108566e-16,0.0,1.104952015167933e-16,0.0,-0.7482317801859917
697,O Me Voy O Te Vas,O Me Voy O Te Vas,Natanael Cano,2023-10-11,QZ9QQ2300812,-1.2086159599041533,0.4192043142938594,-0.41591462638346566,-0.6429813279015714,-0.03018268087848606,0.9181309852168589,-0.25118604002257183,-0.42613072630137044,-0.44790482060098913,-0.23082024599534706,-0.22249558639359374,1.3077036212637554,-0.6647732784692177,0.0,1.3966783524448158e-16,-0.5009321680153445,0.04187103694165571,-0.4974896799110029,-0.5721748498072127,-0.39034888421898745,1.104952015167933e-16,-0.3866450533004281,-0.7482317801859917
